Datum,Tijd,Product,ISIN,Beurs,Uitvoeringsplaats,Aantal,Koers,,Lokale waarde,,Waarde EUR,Wisselkoers,AutoFX Kosten,Transactiekosten en/of kosten van derden EUR,Totaal EUR,Order ID,
26-06-2026,15:28,ODAX P22000.00 17JUL26,DE000F3MGG77,ERX,XEUR,1,"20,5000",EUR,"-102,50",EUR,"-102,50",,"0,00","-0,75","-103,25",,56962189-9db5-48c8-8216-b1bc5c835e19
26-06-2026,15:28,ODAX P22500.00 17JUL26,DE000F3K3NW9,ERX,XEUR,-1,"30,5000",EUR,"152,50",EUR,"152,50",,"0,00","-0,75","151,75",,4f95fee5-e6f7-4b4c-9195-a0da6e73a128
24-06-2026,14:31,ODAX P22500.00 21AUG26,DE000F3P0YU1,ERX,XEUR,-1,"133,5000",EUR,"667,50",EUR,"667,50",,"0,00","-0,75","666,75",,d64cc770-8944-466c-b8bd-f8d54a09a6cc
24-06-2026,14:30,ODAX P22000.00 21AUG26,DE000F3P0X82,ERX,XEUR,1,"100,5000",EUR,"-502,50",EUR,"-502,50",,"0,00","-0,75","-503,25",,b7fdb1a8-2a2a-4066-814c-780c4480d121
24-06-2026,10:00,ODAX C25500.00 17JUL26,DE000F3K3UJ1,ERX,XEUR,-1,"105,0000",EUR,"525,00",EUR,"525,00",,"0,00","-0,75","524,25",,60fae64e-b8ac-49a9-b2ed-7c681336b1fa
24-06-2026,10:00,ODAX C25000.00 17JUL26,DE000F3K3TN5,ERX,XEUR,1,"266,0000",EUR,"-1330,00",EUR,"-1330,00",,"0,00","-0,75","-1330,75",,38777421-8e9e-4492-b164-f2eaab3051bc
24-06-2026,10:00,ODAX C25500.00 17JUL26,DE000F3K3UJ1,ERX,XEUR,-3,"105,0000",EUR,"1575,00",EUR,"1575,00",,"0,00","-2,25","1572,75",,29b8a888-965a-48e0-9d68-bf8509e60011
24-06-2026,09:59,ODAX C25750.00 17JUL26,DE000F3K3UU8,ERX,XEUR,3,"60,0000",EUR,"-900,00",EUR,"-900,00",,"0,00","-2,25","-902,25",,7439cde4-7b91-4f42-8efa-31ac26ee10b8
23-06-2026,10:42,ODAX P22000.00 17JUL26,DE000F3MGG77,ERX,XEUR,1,"22,0000",EUR,"-110,00",EUR,"-110,00",,"0,00","-0,75","-110,75",,462965e4-7329-4fbd-8665-a154b42ee0c2
23-06-2026,10:42,ODAX P22500.00 17JUL26,DE000F3K3NW9,ERX,XEUR,-1,"31,5000",EUR,"157,50",EUR,"157,50",,"0,00","-0,75","156,75",,0c1648bb-f85b-4677-bb12-24dac318e755
23-06-2026,10:23,ODAX P24000.00 17JUL26,DE000F3K3RC2,ERX,XEUR,1,"159,5000",EUR,"-797,50",EUR,"-797,50",,"0,00","-0,75","-798,25",,024aa38b-127f-48ca-99ae-0c32c0069436
23-06-2026,10:23,ODAX P23750.00 17JUL26,DE000F3K3QR2,ERX,XEUR,-1,"119,0000",EUR,"595,00",EUR,"595,00",,"0,00","-0,75","594,25",,46e74384-59e6-44cf-8384-c5fe6c81649f
23-06-2026,09:45,ODAX P24250.00 17JUL26,DE000F3K3RY6,ERX,XEUR,-1,"184,0000",EUR,"920,00",EUR,"920,00",,"0,00","-0,75","919,25",,27139a5a-a299-48e7-996b-f92a0a7ecb36
23-06-2026,09:45,ODAX P24000.00 21AUG26,DE000F3P0047,ERX,XEUR,1,"328,0000",EUR,"-1640,00",EUR,"-1640,00",,"0,00","-0,75","-1640,75",,cfdfbe6d-d619-4f2b-baec-b266d123f966
23-06-2026,09:44,ODAX P24000.00 17JUL26,DE000F3K3RC2,ERX,XEUR,1,"137,0000",EUR,"-685,00",EUR,"-685,00",,"0,00","-0,75","-685,75",0de94f1c-11d4-49bb-a1b3-258e0b1028d1
23-06-2026,09:43,ODAX P24000.00 21AUG26,DE000F3P0047,ERX,XEUR,-1,"325,0000",EUR,"1625,00",EUR,"1625,00",,"0,00","-0,75","1624,25",82ca9180-810a-43f0-8fb3-768b382104cb
23-06-2026,09:40,ODAX P22000.00 17JUL26,DE000F3MGG77,ERX,XEUR,2,"21,0000",EUR,"-210,00",EUR,"-210,00",,"0,00","-1,50","-211,50",0bfedeef-d6e7-4a1b-b90e-ecd6c6e6599e
23-06-2026,09:40,ODAX P22500.00 17JUL26,DE000F3K3NW9,ERX,XEUR,-2,"29,0000",EUR,"290,00",EUR,"290,00",,"0,00","-1,50","288,50",bffb4ba1-670d-4e50-9379-b0b6ecf9ac53
22-06-2026,10:13,ODAX P23000.00 21AUG26,DE000F3P0ZE2,ERX,XEUR,-2,"144,0000",EUR,"1440,00",EUR,"1440,00",,"0,00","-1,50","1438,50",234edc7d-6cab-47d5-afa5-d25a5279c5e5
22-06-2026,10:13,ODAX P22500.00 21AUG26,DE000F3P0YU1,ERX,XEUR,3,"107,5000",EUR,"-1612,50",EUR,"-1612,50",,"0,00","-2,25","-1614,75",ad15ee23-201c-4a54-b9c2-55392bd551ad
22-06-2026,10:12,ODAX P23000.00 21AUG26,DE000F3P0ZE2,ERX,XEUR,-2,"144,0000",EUR,"1440,00",EUR,"1440,00",,"0,00","-1,50","1438,50",60d8ecc5-093e-40f8-892a-2c0477c79289
22-06-2026,10:12,ODAX P24000.00 21AUG26,DE000F3P0047,ERX,XEUR,1,"282,0000",EUR,"-1410,00",EUR,"-1410,00",,"0,00","-0,75","-1410,75",45dbe8a1-9443-4382-aa90-033c56262407
19-06-2026,13:48,SAP C160.00 17JUL26,DE000F3K7M89,ERX,XEUR,1,"0,5000",EUR,"-50,00",EUR,"-50,00",,"0,00","-0,75","-50,75",df38cb61-9dae-4c3a-944d-338d7fba63dd
19-06-2026,13:47,SAP C154.00 17JUL26,DE000F3K7M22,ERX,XEUR,-1,"0,7800",EUR,"78,00",EUR,"78,00",,"0,00","-0,75","77,25",409aa174-e53d-4c9d-a694-9c5a277c2ad4
19-06-2026,13:36,ODAX C25250.00 19JUN26,DE000F3HWML8,ERX,,-2,"0,0000",EUR,"0,00",EUR,"0,00",,"0,00",,"0,00",
19-06-2026,10:43,ODAX C25250.00 19JUN26,DE000F3HWML8,ERX,XEUR,1,"2,3000",EUR,"-11,50",EUR,"-11,50",,"0,00","-0,75","-12,25",6586b00e-f095-4d8a-a65b-a4654ee5584b
19-06-2026,10:03,ODAX C25250.00 19JUN26,DE000F3HWML8,ERX,XEUR,1,"6,2000",EUR,"-31,00",EUR,"-31,00",,"0,00","-0,75","-31,75",920a2171-a692-4a3e-bc72-cb0da182b714
19-06-2026,09:50,ODAX C25100.00 19JUN26,DE000F12Q429,ERX,XEUR,-1,"62,0000",EUR,"310,00",EUR,"310,00",,"0,00","-0,75","309,25",e35024a9-6a99-4bc7-8e7b-2507ecfcbab2
19-06-2026,09:15,ODAX C25250.00 19JUN26,DE000F3HWML8,ERX,XEUR,1,"3,1000",EUR,"-15,50",EUR,"-15,50",,"0,00","-0,75","-16,25",10f0032f-626e-44d6-91bd-8352327cb880
